"Cutthroat1"	"Злоба Бартука"
"x"	"Приложение установленное с использованием ключа Lord of Destruction не авторизировано для использования на Battle.net."
"x"	"CD Ключ Lord of Destruction, который Вы установили был отключен. Пожалуйста, соединитесь с тех. поддержкой Blizzard Entertainment для дальнейшей поддержки."
"x"	"Ваш CD ключ к Lord of Destruction в настоящий момент используется следующим подлецом:"
"x"	"CD Ключ Lord of Destruction, использованный при установке, принадлежит другому продукту. Пожалйста, переустановите приложение с ипользованием правильного CD Ключа."
"Playersubtitles29"	"Отступить!"
"AmaOnly"	"(Только для Амазонки)"
"SorOnly"	"(Только для Колдуньи)"
"NecOnly"	"(Только для Некроманта)"
"PalOnly"	"(Только для Паладина)"
"BarOnly"	"(Только для Варвара)"
"DruOnly"	"(Только для Друида)"
"AssOnly"	"(Только для Ассассина)"
"Chatcaps"	"ЧАТ"
"Newscaps"	"НОВОСТИ"
"Laddercaps"	"РЕЙТИНГ"
"LaddeCharacter"	"ПЕРСОНАЖ В РЕЙТИНГЕ"
"x"	"A Ladder Character can only be played with other Ladder characters during the Ladder Season when it was created. After the Ladder Season is over, then the Ladder character will become a Non-Ladder Character. Continue?"
"x"	"Невозможно войти в игру. Обычный персонаж не может войти в игру, созданную персонажем в рейтинге."
"x"	"Невозможно войти в игру. Персонаж в рейтинге не может войти в игру, созданную обычным персонажем."
"Sksyn"	"%s Улучшается От:"
"Damplev"	"Урона за Уровень"
"ElemDampLev"	"Стихийного Урона за Уровень"
"Firedplev"	"Урона Огнем за Уровень"
"Colddplev"	"Урона Холодом за Уровень"
"Ltngdplev"	"Урона Молнией за Уровень "
"Poisdplev"	"Урона Ядом за Уровень"
"Magdplev"	"Магического Урона за Уровень"
"Rangplev"	"Ярдов за Уровень"
"RateFireplev"	"к скорости стрельбы за уровень"
"AttRateplev"	"к Рейтингу Атаки за Уровень"
"AttSpeedplev"	"к Скорости Атаки за Уровень"
"Defplev"	"к Защите за Уровень"
"Manacoredplev"	"к Затратам Маны за Уровень"
"Missplev1"	"к Снарядам за Уровень"
"Missplev2"	"+1 Снаряд за Уровень"
"Missplev3"	"+1 Снаряд за %d Уровня(ей)"
"Boltplev1"	"к стрелам за уровень"
"Boltplev2"	"+1 стрела за уровень"
"Boltplev3"	"+1 стрела за %d уровня(ей)"
"Shotplev1"	"к зарядам зауровень"
"Shotplev2"	"+1 заряд за уровень"
"Shotplev3"	"+1 заряд за %d уровня(ей)"
"Hpplev"	"к Жизни за Уровень"
"WRSpeedplev"	"к Скорости Ходьбы/Бега за уровень"
"Durateplev"	"к Длительности за Уровень"
"CoLenplev"	"к Длительности Холода за Уровень"
"FrezLenplev"	"к Длительности Заморозки за Уровень"
"PoisLenplev"	"к Длительности Яда за Уровень"
"Convphy2magplev"	"Преобразовывает %d%% Физического Урона в Магический Урон за Уровень"
"Convphy2elemplev"	"Преобразовывает %d%% Физического Урона в Стихийный Урон за Уровень"
"Convphy2magalt"	"Преобразовывает %d%% Физического Урона в Стихийный Урон"
"Convphy2elemalt"	"Преобразовывает %d%% Физического Урона в Магический Урон"
"Secplev1"	"Секунда за Уровень"
"Secplev2"	"Секунд за Уровень"
"Damabsplev"	"к поглощению урона за уровень"
"WeapDamsk"	"Урона Оружия"
"Hbdplev"	"к урону святой стрелой за уровень"
"Healplev"	"к восстановлению жизни за уровень"
"Healplev2"	"восстановления жизни каждые 2 секунды"
"FanYDam"	"Ваш урон: "
"PartDam"	"Урон отряда: "
"AFDImm"	"к среднему урону огнем в секунду за уровень"
"Cgslow"	"замедление врага: "
"Corexpdam"	"Урон взрывом трупа: "
"ModitemAura"	"Level %d %s Aura When Equipped"
"Moditem2allattrib"	"ко всем Атрибутам"
"Moditem2ExpG"	"к Получаемому Опыту"
"ModitemHPaK"	"к Жизни после каждого Убийства"
"ModitemRedVendP"	"Снижает Цены у всех Торговцев на"
"ModitemSMRIP"	"Убитые Монстры Не Оставляют Трупов"
"ModitemAttratvsM"	"к Рейтингу Атаки против"
"Moditemdamvsm"	"к Урону против"
"Moditemslayat"	"Убито:"
"Moditemreanimas"	"Возродить как:"
"Moditemenrescoldsk"	"к Сопротивлению Холоду у Врага"
"Moditemenresfiresk"	"к Сопротивлению Огню у Врага"
"Moditemenresltngsk"	"к Сопротивлению Молнии у Врага"
"Moditemenrespoissk"	"к Сопротивлению Яду у Врага"
"ModitemdamFiresk"	"к Урону Заклинаний Огня"
"ModitemdamColdsk"	"к Урону Заклинаний Холода"
"ModitemdamLtngsk"	"к Урону Заклинаний Молнии"
"ModitemdamPoissk"	"к Урону Заклинаний Яда"
"Moditemskondeath"	"%d%% Шанс использовать навык уровня %d %s при Смерти"
"ModitemskonLevel"	"%d%% Шанс использовать навык уровня %d %s при получении Нового Уровня"
"ModitemskonKill"	"%d%% Шанс использовать навык уровня %d %s при Убийстве Врага"
"Skillname224"	"Человек-волк"
"Skillsd224"	"превращение в волка"
"Skillld224"	"превращение в волка"
"Skillan224"	"Человек-волк"
"StrSkill43a"	" скелет маг"
"StrSkill44a"	" скелет маг"
"StrSklTabItem9"	"+%d к заклинаниям вызова"
"SOJSold"	"%d камня(ей) Джордана проданные торговцам"
"DiabloWalksEarth"	"Диабло Ходит по Земле"
"neg"	"Череп адского отродья"
"TrappDoor"	"Люк"
"uhf"	"Легендарный Кулак"
"skillxld124P"	"your life and mana/nthe souls of slain enemies to give/nwhen active, aura attempts to redeem"
"7wa"	"Топор Берсерка"
"skillld42"	"здоровье всех ближайших врагов/nсоздает электрическое поле, снижающее"
"xhg"	"Военные Перчатки"
"Fiendra"	"Демон"
"Wraithra"	"Видение"
"Fiend"	"Демон"
"Wraith"	"Видение"
"D2bnetHelp10"	"\blue;Голубой Текст\gold; представляет действия, которые были предприняты в канале чата."
"ItemStats1r"	"Шанс Блока: "
"x"	"Сервер полон"
"x"	"Новую игру сейчас невозможно создать. Пожалуйста, войдите в игру или зайдите позже."
"merca239"	"Ярулф"
"StrSkill63Patch"	"в течение "
"x"	"Вы поставлены в очередь для создания новой игры. Попробуйте присоединиться к игре чтобы не ждать."
"X"	"Очередь игры"
"x"	"Создано слишком много игр. Пожалуйста присоединитесь к какой-нибудь или ждите своей очереди."
"x"	"Ваш номер в очереди: "
"x"	"В очереди игры"
"9bl"	"Стилет"
"eats and spits corpses"	"Поедает трупы"
"qstsa2q63f"	"Исследуйте Гробницу Тал Рашы"
"Shocking Hit"	"Шокирующий удар"
"ModStr1w"	"Больше Золота от Монстров"
"ModStr1x"	"к Шансу Нахождения Магических Предметов"
"ModStr3u"	"Обращает Цель в Бегство при Попадании"
"ModStr4c"	"к Рейтингу Атаки"
"ModStr5r"	"Замедляет Цель на"
"ModStr6f"	"Шанс Возродить Цель"
"ModStr6d"	"Удар Ослепляет Цель"
"x"	"Введите IP адрес сервера, чтобы войти в игру"
"StrSkill61"	"Несколько ударов"
"D2bnetHelp13c"	"/reply"
"D2bnethelp13d"	"Позволяет вам отвечать на шепот не вводя имя"
"D2bnetHelp52"	"/whisper, /msg, /reply"
"D2bnetHelp10a"	"\yellow;Желтый Текст\gold; представляет особые сообщения, посланные непосредственно с battle.net"
"BnetnewGameTime"	"Время игры:"
"D2bnetHelp12c"	"При использовании расширенных команд вы можете использовать имена для людей того же королевства, и имена персонажей @королевства для людей другого королевства."
"D2bnetHelp12d"	"Вы должны использовать *имя аккаунта для всех в баттл.нете, включая людей из других игр, таких как СтарКрафт."
"D2bnetHelp12b"	"Где бы команда снизу не попросила <имя_аккаунта>, пожалуйста используйте <имя_персонажа>, <имя_персонажа@Реалм>, or <*имя_аккаунта>."
"x"	"ШЛЮЗ: %s"
"x"	"СМЕНИТЬ ПАРОЛЬ"
"x"	"Сменить Пароль"
"x"	"Текущий Пароль"
"x"	"Новый Пароль"
"x"	"Подтвердите Новый Пароль"
"x"	"ВЫБЕРИТЕ ШЛЮЗ"
"x"	"Если выбранный шлюз не соответствует вашему местонахождению, выберите другой шлюз Баттл.Нет."
"x"	"СМЕНИТЬ РЕАЛМ"
"x"	"Текущий Реалм"
"x"	"Персонаж '%s' уже существует в этом Реалме."
"D2bnetHelp6a"	"\dgrey;Серый Текст\gold; также представляет собой действия, которые выполнили люди на чат-канале."
"D2bnetHelp10aPatch"	"\blue;Голубой Текст\gold; представляет собой специальные сообщения, посланные прямо из баттл.нет или от Представителя Близзард."
"x"	"ПОСЛАТЬ"
"x"	"ПРЕДУПРЕЖДЕНИЕ ПАРОЛЯ"
"x"	"Вы собираетесь отослать свой пароль другому пользователю Баттл.Нет. Близзард никогда не попросит вашего пароля."
"x"	"СОЕДИНЕНИЕ..."
"x"	"РЕАЛМ УПАЛ"
"x"	"Еще..."
"x"	"You have more than 8 characters on this Diablo II Realm. Only 8 characters can be displayed at a time."
"x"	"To see more characters, you must delete one of your existing characters. This deletion is permanent. You will not be able to recover the deleted character."
"X"	"Правила"
"X"	"Заходя на Баттл.Нет, вы подтверждаете, что прочли и согласны с текущими Правилами"
"x"	"a0n1:%0 %1"
"GemXp1"	"Перчатки, Пояс, Сапоги:"
"GemXp2"	"Щит:"
"GemXp3"	"Оружие:"
"GemXp4"	"Броня и Шлем:"
"expansionchar2x"	"ПЕРСОНАЖ Median XL"
"x"	"Missing string"
"EskillLowersResistX"	"Понижает Сопротивление"
"ExInsertSocketsX"	"Можно Вставить в Предметы с Гнездами"
"EskillToMeleeX"	" to melee attacks"
"eskillincasemasteryX"	"%d%% Шанс Критического Удара"
"CfgSay7X"	"Say 'Retreat'"
"champghostlyX"	"Призрачный"
"champfanaticX"	"Фанатичный"
"champpossessedX"	"Одержимый"
"champberserkX"	"Берсерк"
"PalMercExST1X"	"Оборотень"
"PalMercEXST3X"	"Боевой Маг"
"PalMercEXST4X"	"Храмовник"
"increaseswithplaylevelX"	"(Основано на Уровне Персонажа)"
"RankX"	"Место"
"DAerin Shield (Grade 1)"	""
"DAerin Shield (Grade 2)"	"Ввод электронной почты дает дополнительные возможности, такие как восстановление аккаунта, если вы забудете свой пароль. Посетите http://tsw.median-xl.com для более детальной информации.\n"
"DAerin Shield (Grade 3)"	"Адрес Электронной Почты:"
"DAerin Shield (Grade 4)"	"Подтвердите Адрес Электронной Почты:"
"DAerin Shield (Grade 5)"	"РЕГИСТРАЦИЯ"
"DAerin Shield (Grade 6)"	"НЕ РЕГИСТРИРОВАТЬСЯ"
"DAerin Shield (Sacred)"	"Пожалуйста убедитесь, что оба адреса электронной почты совпадают."
"DAncient Armor (Grade 1)"	"Неверный Адрес Электронной Почты"
"DAncient Armor (Grade 2)"	"Введенный вами адрес электронной почты неверен.  Пожалуйста введите правильный адрес."
"DAncient Armor (Grade 3)"	"Без зарегестрированного адреса электронной почты вы не сможете восстановить ваш аккаунт в случае утраты пароля. У вас больше не будет возможности зарегестрировать адрес электронной почты для этого аккаунта."
"DAncient Armor (Grade 4)"	"Если вы забыли пароль и у вас есть зарегестрированный адрес электронной почты для этого аккаунта, вы можете запросить новый пароль, нажав Выслать. Убедитесь, что вы ввели именно тот адрес электронной почты, который регистрировали для этого аккаунта."
"DAncient Armor (Grade 5)"	"Ваш запрос нового пароля получен. Если вы регистрировали адрес электронной почты для этого аккаунта, то получите электронное письмо с инструкциями по завершению смены пароля."
"DAncient Armor (Grade 6)"	"ПРОДОЛЖИТЬ"
"DAncient Armor (Sacred)"	"Забыли пароль? Нажмите 'Настройки Аккаунта'."
"DAntlers (Grade 1)"	"Печатать нелегко. Вы можете получить новый и более легкий пароль, нажав 'Настройки Аккаунта'."
"DAntlers (Grade 2)"	"НАСТРОЙКИ АККАУНТА"
"DAntlers (Grade 3)"	"Настройки Аккаунта"
"DAntlers (Grade 4)"	"Если вы знаете свой пароль и хотите его сменить, нажмите сюда."
"DAntlers (Grade 5)"	"Если вы забыли свой пароль или он не работает, нажмите сюда."
"DAntlers (Grade 6)"	"Если вы хотите сменить зарегестрированный адрес электронной почты, нажмите сюда."
"DAntlers (Sacred)"	"ПОЛУЧИТЬ НОВЫЙ ПАРОЛЬ"
"DAspis (Grade 1)"	"Получить Новый Пароль"
"DAspis (Grade 2)"	"СМЕНИТЬ АДРЕС ЭЛЕКТРОННОЙ ПОЧТЫ"
"DAspis (Grade 3)"	"Сменить Адрес Электронной Почты"
"DAspis (Grade 4)"	"Старый Адрес Электронной Почты:"
"DAspis (Grade 5)"	"Новый Адрес Электронной Почты:"
"DAspis (Grade 6)"	"Подтвердите Новый Адрес Электронной Почты:"
"DAspis (Sacred)"	"Если вы регистрировали адрес электронной почты для этого аккаунта, то можете сменить его тут. Оба адреса электронной почты должны быть активны."
"DAssault Helmet (Grade 1)"	"Старый и новый адрес электронной почты совпадают. Пожалуйста введите другой адрес."
"DAssault Helmet (Grade 2)"	"Пожалуйста убедитесь, что два новых адреса совпадают."
"DAssault Helmet (Grade 3)"	"Обновление Новостей Баттл.Нет"
"DAssault Helmet (Grade 4)"	"Последняя Завершенная Сложность:"
"DAssault Helmet (Grade 5)"	"Нету"
"DAssault Helmet (Grade 6)"	"ВОЙТИ В ЧАТ"
"DAssault Helmet (Sacred)"	"\nhttp://tsw.median-xl.com\n"
"DAthulua's Hand (Grade 1)"	"Небезопасный Пароль"
"DAthulua's Hand (Grade 2)"	"Выбранный вами пароль небезопасен. Пожалуйста выберите другой."
"DAthulua's Hand (Grade 3)"	"ПРЕДУПРЕЖДЕНИЕ О КЛЮЧЕ"
"DAthulua's Hand (Grade 4)"	"You cannot send your cdkey to another user on Battle.net. Blizzard will never ask you for your cdkey for any reason."
"DAthulua's Hand (Grade 5)"	"Умрет Сегодня"
"DAthulua's Hand (Grade 6)"	"Умрет через %d дней"
"DAthulua's Hand (Sacred)"	"Покойся с Миром"
"DAvenger Guard (Grade 1)"	""
"DAvenger Guard (Grade 2)"	""
"DAvenger Guard (Grade 3)"	""
"DAvenger Guard (Grade 4)"	""
"DAvenger Guard (Grade 5)"	""
"DAvenger Guard (Grade 6)"	""
"DAvenger Guard (Sacred)"	""
"DBanded Plate (Grade 1)"	""
"DBanded Plate (Grade 2)"	"Персонажи на данном сервере хранятся вечно."
